[File: 123510_123522.hdf],,,,,,,,,,,,,,,,,,,,
 Wavelength [Å], Start time,,,, End time,,,, Duration [sec],, Temperature [K],Regulation Temp. [K], DetSum,, DetRate, MonSum,, MonRate, Elastic peak [ToF], SRot
of incident neutron,Day,Time,,,Day,Time,,,measured,calculated,,,Total num. of neutron,,Neutron rate,Total neutron num. of MONITOR,,Neutron rate of MONITOR,,
,,h,min,sec,,h,min,sec,,,,,measured,calculated,,measured,calculated,,,
COOLING to 150K,,,,,,,,,,,,,,,,,,,,
5,24/06/2015,2,15,47,24/06/2015,2,26,7,600.013,620,149.571,149.999,2.10901E+06,,3514.95,478549,,797.565,295,-1443
,,,,,,,,,,,,,,,,,,,,
COOLED at ≃ 150 K,,,,,,,,,,,,,,,,,,,,
5,24/06/2015,2,26,9,24/06/2015,2,56,30,1800.01,1821,149.735,149.999,6.3291E+06,6309512,3516.14,1.43665E+06,1435072,798.133,295,-1443
5,24/06/2015,2,56,32,24/06/2015,3,26,52,1800.01,1820,149.972,149.999,6.31996E+06,6309512,3511.06,1.43384E+06,1435072,796.574,295,-1443
5,24/06/2015,3,26,55,24/06/2015,3,57,15,1800.01,1820,150.032,150.004,6.30493E+06,6309512,3502.73,1.43408E+06,1435072,796.706,295,-1443
5,24/06/2015,3,57,17,24/06/2015,4,27,38,1800.01,1821,150.047,150,6.30872E+06,6309512,3504.83,1.43615E+06,1435072,797.858,295,-1443
5,24/06/2015,4,27,40,24/06/2015,4,58,0,1800.01,1820,150.058,150,6.30258E+06,6309512,3501.42,1.43767E+06,1435072,798.705,295,-1443
5,24/06/2015,4,58,3,24/06/2015,5,28,23,1800.01,1820,150.058,150,6.30383E+06,6309512,3502.12,1.43589E+06,1435072,797.712,295,-1443
5,24/06/2015,5,28,26,24/06/2015,5,58,46,1800.01,1820,150.063,149.998,6.30806E+06,6309512,3504.47,1.43534E+06,1435072,797.409,295,-1443
5,24/06/2015,5,58,48,24/06/2015,6,29,9,1800.01,1821,150.065,149.998,6.30786E+06,6309512,3504.36,1.43544E+06,1435072,797.464,295,-1443
5,24/06/2015,6,29,11,24/06/2015,6,59,31,1800.01,1820,150.066,150,6.30453E+06,6309512,3502.51,1.43148E+06,1435072,795.266,295,-1443
5,24/06/2015,6,59,34,24/06/2015,7,29,54,1800.01,1820,150.073,150.001,6.30601E+06,6309512,3503.33,1.43691E+06,1435072,798.28,295,-1443
5,24/06/2015,7,29,56,24/06/2015,8,0,17,1800.01,1821,150.072,149.999,6.3062E+06,6309512,3503.43,1.43606E+06,1435072,797.806,295,-1443
5,24/06/2015,8,0,19,24/06/2015,8,30,39,1800.01,1820,150.071,150,6.31223E+06,6309512,3506.78,1.43133E+06,1435072,795.181,295,-1443
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Average,,,,Average,,,Average,,
,,,,,,,,,,,150.03,,,,3505,,,797.3,,
,,,,,,,,,,,Dev. Stand.,,,,Dev. Stand.,,,Dev. Stand.,,
,,,,,,,,,,,0.10,,,,4,,,1.1,,
,,,,,,,,,,,Percent. err.,,,,Percent. err.,,,Percent. err.,,
,,,,,,,,,,,0.06,,,,0.12,,,0.14,,
,,,,,,,,,,,,,,,,,,,,