[File: 123438_123456.hdf],,,,,,,,,,,,,,,,,,,,
 Wavelength [Å], Start time,,,, End time,,,, Duration [sec],, Temperature [K],Regulation Temp. [K], DetSum,, DetRate, MonSum,, MonRate, Elastic peak [ToF], SRot
of incident neutron,Day,Time,,,Day,Time,,,measured,calculated,,,Total num. of neutron,,Neutron rate,Total neutron num. of MONITOR,,Neutron rate of MONITOR,,
,,h,min,sec,,h,min,sec,,,,,measured,calculated,,measured,calculated,,,
COOLING to 150K,,,,,,,,,,,,,,,,,,,,
5,23/06/2015,0,32,18,23/06/2015,0,42,38,600.012,620,149.581,150.002,1.29001E+06,,2149.97,475266,,792.094,295,-1443
,,,,,,,,,,,,,,,,,,,,
COOLED at ≃ 150 K,,,,,,,,,,,,,,,,,,,,
5,23/06/2015,0,42,41,23/06/2015,1,13,1,1800.01,1820,149.766,150,3.87643E+06,3866675,2153.56,1.43498E+06,1432011,797.209,295,-1443
5,23/06/2015,1,13,3,23/06/2015,1,43,24,1800.01,1821,149.98,150.004,3.87588E+06,3866675,2153.25,1.43522E+06,1432011,797.338,295,-1443
5,23/06/2015,1,43,26,23/06/2015,2,13,46,1800.01,1820,150.037,150,3.8775E+06,3866675,2154.15,1.43527E+06,1432011,797.368,295,-1443
5,23/06/2015,2,13,49,23/06/2015,2,44,9,1800.01,1820,150.054,149.996,3.65688E+06,3866675,2031.59,1.35543E+06,1432011,753.013,295,-1443
5,23/06/2015,2,44,11,23/06/2015,3,14,32,1800.01,1821,150.058,149.999,3.87655E+06,3866675,2153.63,1.43829E+06,1432011,799.045,295,-1443
5,23/06/2015,3,14,34,23/06/2015,3,44,54,1800.01,1820,150.066,150,3.87915E+06,3866675,2155.07,1.435E+06,1432011,797.216,295,-1443
5,23/06/2015,3,44,57,23/06/2015,4,15,17,1800.01,1820,150.068,150,3.87645E+06,3866675,2153.57,1.43708E+06,1432011,798.375,295,-1443
5,23/06/2015,4,15,19,23/06/2015,4,45,40,1800.01,1821,150.072,149.997,3.87686E+06,3866675,2153.8,1.43867E+06,1432011,799.259,295,-1443
5,23/06/2015,4,45,42,23/06/2015,5,16,2,1800.01,1820,150.073,150.001,3.87918E+06,3866675,2155.09,1.4364E+06,1432011,797.993,295,-1443
5,23/06/2015,5,16,5,23/06/2015,5,46,25,1800.01,1820,150.076,150,3.87676E+06,3866675,2153.74,1.43424E+06,1432011,796.798,295,-1443
5,23/06/2015,5,46,27,23/06/2015,6,16,48,1800.01,1821,150.077,150.001,3.88068E+06,3866675,2155.92,1.43946E+06,1432011,799.693,295,-1443
5,23/06/2015,6,16,50,23/06/2015,6,47,10,1800.01,1820,150.075,150.001,3.88182E+06,3866675,2156.55,1.43339E+06,1432011,796.324,295,-1443
5,23/06/2015,6,47,13,23/06/2015,7,17,33,1800.01,1820,150.078,150,3.8825E+06,3866675,2156.93,1.4382E+06,1432011,798.998,295,-1443
5,23/06/2015,7,17,35,23/06/2015,7,47,56,1800.01,1821,150.078,149.999,3.87913E+06,3866675,2155.06,1.44015E+06,1432011,800.078,295,-1443
5,23/06/2015,7,47,58,23/06/2015,8,18,18,1800.01,1820,150.081,149.999,3.88066E+06,3866675,2155.91,1.43358E+06,1432011,796.428,295,-1443
5,23/06/2015,8,18,21,23/06/2015,8,48,41,1800.01,1820,150.078,150,3.88077E+06,3866675,2155.97,1.43927E+06,1432011,799.589,295,-1443
5,23/06/2015,8,48,43,23/06/2015,9,19,4,1800.01,1821,150.076,150.001,3.8815E+06,3866675,2156.37,1.43828E+06,1432011,799.041,295,-1443
5,23/06/2015,9,19,6,23/06/2015,9,49,26,1800.01,1820,150.078,150.001,3.8815E+06,3866675,2156.38,1.43329E+06,1432011,796.269,295,-1443
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Average,,,,Average,,,Average,,
,,,,,,,,,,,150.05,,,,2148,,,795.6,,
,,,,,,,,,,,Dev. Stand.,,,,Dev. Stand.,,,Dev. Stand.,,
,,,,,,,,,,,0.07,,,,29,,,10.7,,
,,,,,,,,,,,Percent. err.,,,,Percent. err.,,,Percent. err.,,
,,,,,,,,,,,0.05,,,,1.36,,,1.34,,
,,,,,,,,,,,,,,,,,,,,