[File: 123488_123494.hdf],,,,,,,,,,,,,,,,,,,,
 Wavelength [Å], Start time,,,, End time,,,, Duration [sec],, Temperature [K],Regulation Temp. [K], DetSum,, DetRate, MonSum,, MonRate, Elastic peak [ToF], SRot
of incident neutron,Day,Time,,,Day,Time,,,measured,calculated,,,Total num. of neutron,,Neutron rate,Total neutron num. of MONITOR,,Neutron rate of MONITOR,,
,,h,min,sec,,h,min,sec,,,,,measured,calculated,,measured,calculated,,,
COOLING to 150K,,,,,,,,,,,,,,,,,,,,
5,23/06/2015,18,32,23,23/06/2015,18,38,31,337.673,368,149.899,150.005,2.01612E+06,,5970.64,269818,,799.051,295,-1443
,,,,,,,,,,,,,,,,,,,,
COOLED at ≃ 150 K,,,,,,,,,,,,,,,,,,,,
5,23/06/2015,18,38,40,23/06/2015,19,9,0,1800.01,1820,149.768,150,1.07425E+07,10733514,5968.01,1.43832E+06,1437215,799.063,295,-1443
5,23/06/2015,19,9,3,23/06/2015,19,39,23,1800.01,1820,150.03,150.002,1.07335E+07,10733514,5963.05,1.43926E+06,1437215,799.583,295,-1443
5,23/06/2015,19,39,26,23/06/2015,20,9,46,1800.01,1820,150.097,150.001,1.07357E+07,10733514,5964.24,1.43545E+06,1437215,797.468,295,-1443
5,23/06/2015,20,9,49,23/06/2015,20,40,9,1800.01,1820,150.091,150,1.07382E+07,10733514,5965.61,1.43376E+06,1437215,796.527,295,-1443
5,23/06/2015,20,40,12,23/06/2015,21,10,32,1800.01,1820,150.122,149.998,1.07265E+07,10733514,5959.11,1.43886E+06,1437215,799.362,295,-1443
5,23/06/2015,21,10,34,23/06/2015,21,40,55,1800.01,1821,150.112,150.004,1.07248E+07,10733514,5958.16,1.43765E+06,1437215,798.687,295,-1443
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Average,,,,Average,,,Average,,
,,,,,,,,,,,150.04,,,,5963,,,798.4,,
,,,,,,,,,,,Dev. Stand.,,,,Dev. Stand.,,,Dev. Stand.,,
,,,,,,,,,,,0.14,,,,4,,,1.2,,
,,,,,,,,,,,Percent. err.,,,,Percent. err.,,,Percent. err.,,
,,,,,,,,,,,0.09,,,,0.06,,,0.15,,
,,,,,,,,,,,,,,,,,,,,