run_number, wavelength, experiment_identifier, start_time, end_time, duration, temperature, regulation_temperature, detsum, detrate, monsum, monrate, elasticpeak, SRot, 
123400,5,MBP+H2O 297K,22-Jun-15 12:12:21,22-Jun-15 12:42:41,1800.01,296.421,296.999,1.22701E+07,6816.7,1.43123E+06,795.122,295,-1443, 
123401,5,MBP+H2O 297K,22-Jun-15 12:42:45,22-Jun-15 13:13:05,1800.01,296.155,296.998,1.22666E+07,6814.74,1.43116E+06,795.083,295,-1443, 
123411,5,MBP+H2O cooling to 150 K,22-Jun-15 14:46:34,22-Jun-15 14:56:54,600.012,149.847,150.002,3.86419E+06,6440.19,478892,798.137,295,-1443, 
123412,5,MBP+H2O cooling to 150 K,22-Jun-15 14:56:57,22-Jun-15 15:07:17,600.012,149.443,150,3.85989E+06,6433.01,479527,799.196,295,-1443, 
123413,5,MBP+H2O cooling to 150 K,22-Jun-15 15:07:19,22-Jun-15 15:17:40,600.012,149.521,149.999,3.86682E+06,6444.57,478856,798.077,295,-1443, 
123414,5,MBP+H2O cooling to 150 K,22-Jun-15 15:17:42,22-Jun-15 15:28:02,600.012,149.675,150.001,3.87025E+06,6450.29,479494,799.141,295,-1443, 
123415,5,MBP+H2O cooling to 150 K,22-Jun-15 15:28:05,22-Jun-15 15:38:25,600.012,149.804,149.998,3.86775E+06,6446.12,479003,798.323,295,-1443, 
123416,5,MBP+H2O cooling to 150 K,22-Jun-15 15:38:27,22-Jun-15 15:41:30,162.026,149.835,149.998,1.04337E+06,6439.54,128667,794.116,295,-1443, 
123417,5,MBP+H2O 150 K,22-Jun-15 15:41:38,22-Jun-15 16:11:58,1800.01,149.99,149.998,1.16068E+07,6448.17,1.43488E+06,797.152,295,-1443, 
123418,5,MBP+H2O 150 K,22-Jun-15 16:12:01,22-Jun-15 16:42:21,1800.01,150.033,150.004,1.16177E+07,6454.26,1.43703E+06,798.347,295,-1443, 
123419,5,MBP+H2O 150 K,22-Jun-15 16:42:24,22-Jun-15 17:12:44,1800.01,150.049,150,1.16122E+07,6451.17,1.43223E+06,795.681,295,-1443, 
123420,5,MBP+H2O 150 K,22-Jun-15 17:12:47,22-Jun-15 17:43:07,1800.01,150.057,150.001,1.16181E+07,6454.46,1.43552E+06,797.509,295,-1443, 
123421,5,MBP+H2O 150 K,22-Jun-15 17:43:10,22-Jun-15 18:13:30,1800.01,150.067,150.002,1.16206E+07,6455.86,1.43351E+06,796.389,295,-1443, 
123422,5,MBP+H2O 150 K,22-Jun-15 18:13:32,22-Jun-15 18:34:53,1259.84,150.072,150.002,8.13397E+06,6456.35,1.00472E+06,797.494,295,-1443, 
123438,5,MBP+Mal+D2O cooling to 150 K,23-Jun-15 00:32:18,23-Jun-15 00:42:38,600.012,149.581,150.002,1.29001E+06,2149.97,475266,792.094,295,-1443, 
123439,5,MBP+Mal+D2O 150 K,23-Jun-15 00:42:41,23-Jun-15 01:13:01,1800.01,149.766,150,3.87643E+06,2153.56,1.43498E+06,797.209,295,-1443, 
123440,5,MBP+Mal+D2O 150 K,23-Jun-15 01:13:03,23-Jun-15 01:43:24,1800.01,149.98,150.004,3.87588E+06,2153.25,1.43522E+06,797.338,295,-1443, 
123441,5,MBP+Mal+D2O 150 K,23-Jun-15 01:43:26,23-Jun-15 02:13:46,1800.01,150.037,150,3.8775E+06,2154.15,1.43527E+06,797.368,295,-1443, 
123442,5,MBP+Mal+D2O 150 K,23-Jun-15 02:13:49,23-Jun-15 02:44:09,1800.01,150.054,149.996,3.65688E+06,2031.59,1.35543E+06,753.013,295,-1443, 
123443,5,MBP+Mal+D2O 150 K,23-Jun-15 02:44:11,23-Jun-15 03:14:32,1800.01,150.058,149.999,3.87655E+06,2153.63,1.43829E+06,799.045,295,-1443, 
123444,5,MBP+Mal+D2O 150 K,23-Jun-15 03:14:34,23-Jun-15 03:44:54,1800.01,150.066,150,3.87915E+06,2155.07,1.435E+06,797.216,295,-1443, 
123445,5,MBP+Mal+D2O 150 K,23-Jun-15 03:44:57,23-Jun-15 04:15:17,1800.01,150.068,150,3.87645E+06,2153.57,1.43708E+06,798.375,295,-1443, 
123446,5,MBP+Mal+D2O 150 K,23-Jun-15 04:15:19,23-Jun-15 04:45:40,1800.01,150.072,149.997,3.87686E+06,2153.8,1.43867E+06,799.259,295,-1443, 
123447,5,MBP+Mal+D2O 150 K,23-Jun-15 04:45:42,23-Jun-15 05:16:02,1800.01,150.073,150.001,3.87918E+06,2155.09,1.4364E+06,797.993,295,-1443, 
123448,5,MBP+Mal+D2O 150 K,23-Jun-15 05:16:05,23-Jun-15 05:46:25,1800.01,150.076,150,3.87676E+06,2153.74,1.43424E+06,796.798,295,-1443, 
123449,5,MBP+Mal+D2O 150 K,23-Jun-15 05:46:27,23-Jun-15 06:16:48,1800.01,150.077,150.001,3.88068E+06,2155.92,1.43946E+06,799.693,295,-1443, 
123450,5,MBP+Mal+D2O 150 K,23-Jun-15 06:16:50,23-Jun-15 06:47:10,1800.01,150.075,150.001,3.88182E+06,2156.55,1.43339E+06,796.324,295,-1443, 
123451,5,MBP+Mal+D2O 150 K,23-Jun-15 06:47:13,23-Jun-15 07:17:33,1800.01,150.078,150,3.8825E+06,2156.93,1.4382E+06,798.998,295,-1443, 
123452,5,MBP+Mal+D2O 150 K,23-Jun-15 07:17:35,23-Jun-15 07:47:56,1800.01,150.078,149.999,3.87913E+06,2155.06,1.44015E+06,800.078,295,-1443, 
123453,5,MBP+Mal+D2O 150 K,23-Jun-15 07:47:58,23-Jun-15 08:18:18,1800.01,150.081,149.999,3.88066E+06,2155.91,1.43358E+06,796.428,295,-1443, 
123454,5,MBP+Mal+D2O 150 K,23-Jun-15 08:18:21,23-Jun-15 08:48:41,1800.01,150.078,150,3.88077E+06,2155.97,1.43927E+06,799.589,295,-1443, 
123455,5,MBP+Mal+D2O 150 K,23-Jun-15 08:48:43,23-Jun-15 09:19:04,1800.01,150.076,150.001,3.8815E+06,2156.37,1.43828E+06,799.041,295,-1443, 
123456,5,MBP+Mal+D2O 150 K,23-Jun-15 09:19:06,23-Jun-15 09:49:26,1800.01,150.078,150.001,3.8815E+06,2156.38,1.43329E+06,796.269,295,-1443, 
123459,5,Empty 1 - cooling to 150 K,23-Jun-15 10:35:06,23-Jun-15 10:45:26,600.012,150.196,150.004,94520,157.53,481164,801.924,295,-1443, 
123460,5,Empty 1 - cooling to 150 K,23-Jun-15 10:45:28,23-Jun-15 10:46:54,65.982,149.924,150.004,10394,157.528,52941,802.355,295,-1443, 
123461,5,Empty 1 -  150 K,23-Jun-15 10:47:16,23-Jun-15 11:17:36,1800.01,149.62,150,282721,157.066,1.43927E+06,799.587,295,-1443, 
123462,5,Empty 1 -  150 K,23-Jun-15 11:17:39,23-Jun-15 11:47:59,1800.01,149.993,149.999,280921,156.066,1.237E+06,799.164,295,-1443, 
123463,5,Empty 1 -  150 K,23-Jun-15 11:48:01,23-Jun-15 12:11:07,1366.02,150.365,150,212832,155.805,1.09201E+06,799.415,295,-1443, 
123467,5,Empty 4 - cooling to 150 K,23-Jun-15 13:02:03,23-Jun-15 13:03:10,47.1919,149.933,150.005,6379,135.172,37625,797.277,295,-1443, 
123468,5,Empty 4 -  150 K,23-Jun-15 13:03:27,23-Jun-15 13:33:47,1800.01,149.508,150.003,240371,133.539,1.4343E+06,796.827,295,-1443, 
123469,5,Empty 4 -  150 K,23-Jun-15 13:33:50,23-Jun-15 14:04:10,1800.01,149.976,149.998,239265,132.924,1.4353E+06,797.384,295,-1443, 
123470,5,Empty 4 -  150 K,23-Jun-15 14:05:12,23-Jun-15 14:06:00,27.0687,149.989,150.002,3724,137.576,20506,757.554,295,-1443, 
123471,5,Empty 4 -  300 K,23-Jun-15 14:48:45,23-Jun-15 15:19:05,1800.01,297.505,296.999,320016,177.786,1.44281E+06,801.556,295,-1443, 
123472,5,Empty 4 -  300 K,23-Jun-15 15:19:07,23-Jun-15 15:35:36,968.446,296.435,297.002,171684,177.278,773367,798.565,295,-1443, 
123487,5,MBP+Mal+H20  cooling to 150 K,23-Jun-15 18:22:10,23-Jun-15 18:32:31,600.012,150.954,150.013,3.58661E+06,5977.56,477276,795.444,295,-1443, 
123488,5,MBP+Mal+H20  cooling to 150 K,23-Jun-15 18:32:33,23-Jun-15 18:38:31,337.673,149.899,150.005,2.01612E+06,5970.64,269818,799.051,295,-1443, 
123489,5,MBP+Mal+H20 150 K,23-Jun-15 18:38:40,23-Jun-15 19:09:00,1800.01,149.768,150,1.07425E+07,5968.01,1.43832E+06,799.063,295,-1443, 
123490,5,MBP+Mal+H20 150 K,23-Jun-15 19:09:03,23-Jun-15 19:39:23,1800.01,150.03,150.002,1.07335E+07,5963.05,1.43926E+06,799.583,295,-1443, 
123491,5,MBP+Mal+H20 150 K,23-Jun-15 19:39:26,23-Jun-15 20:09:46,1800.01,150.097,150.001,1.07357E+07,5964.24,1.43545E+06,797.468,295,-1443, 
123492,5,MBP+Mal+H20 150 K,23-Jun-15 20:09:49,23-Jun-15 20:40:09,1800.01,150.091,150,1.07382E+07,5965.61,1.43376E+06,796.527,295,-1443, 
123493,5,MBP+Mal+H20 150 K,23-Jun-15 20:40:12,23-Jun-15 21:10:32,1800.01,150.122,149.998,1.07265E+07,5959.11,1.43886E+06,799.362,295,-1443, 
123494,5,MBP+Mal+H20 150 K,23-Jun-15 21:10:34,23-Jun-15 21:40:55,1800.01,150.112,150.004,1.07248E+07,5958.16,1.43765E+06,798.687,295,-1443, 
123497,5,MBP+D2O 300 K,23-Jun-15 22:40:41,23-Jun-15 23:11:01,1800.01,296.058,297,6.61354E+06,3674.16,1.43574E+06,797.626,295,-1443, 
123498,5,MBP+D2O 300 K,23-Jun-15 23:11:04,23-Jun-15 23:41:24,1800.01,295.995,297,6.61843E+06,3676.88,1.44047E+06,800.258,295,-1443, 
123499,5,MBP+D2O 300 K,23-Jun-15 23:41:27,24-Jun-15 00:11:47,1800.01,296.01,297,6.61531E+06,3675.15,1.43081E+06,794.889,295,-1443, 
123500,5,MBP+D2O 300 K,24-Jun-15 00:11:50,24-Jun-15 00:42:11,1800.01,295.971,297,6.62265E+06,3679.23,1.43658E+06,798.092,295,-1443, 
123509,5,MBP+D2O cooling to 150 K,24-Jun-15 02:05:24,24-Jun-15 02:15:44,600.013,150.902,150.012,2.11173E+06,3519.48,478711,797.835,295,-1443, 
123510,5,MBP+D2O cooling to 150 K,24-Jun-15 02:15:47,24-Jun-15 02:26:07,600.013,149.571,149.999,2.10901E+06,3514.95,478549,797.565,295,-1443, 
123511,5,MBP+D2O 150 K,24-Jun-15 02:26:09,24-Jun-15 02:56:30,1800.01,149.735,149.999,6.3291E+06,3516.14,1.43665E+06,798.133,295,-1443, 
123512,5,MBP+D2O 150 K,24-Jun-15 02:56:32,24-Jun-15 03:26:52,1800.01,149.972,149.999,6.31996E+06,3511.06,1.43384E+06,796.574,295,-1443, 
123513,5,MBP+D2O 150 K,24-Jun-15 03:26:55,24-Jun-15 03:57:15,1800.01,150.032,150.004,6.30493E+06,3502.73,1.43408E+06,796.706,295,-1443, 
123514,5,MBP+D2O 150 K,24-Jun-15 03:57:17,24-Jun-15 04:27:38,1800.01,150.047,150,6.30872E+06,3504.83,1.43615E+06,797.858,295,-1443, 
123515,5,MBP+D2O 150 K,24-Jun-15 04:27:40,24-Jun-15 04:58:00,1800.01,150.058,150,6.30258E+06,3501.42,1.43767E+06,798.705,295,-1443, 
123516,5,MBP+D2O 150 K,24-Jun-15 04:58:03,24-Jun-15 05:28:23,1800.01,150.058,150,6.30383E+06,3502.12,1.43589E+06,797.712,295,-1443, 
123517,5,MBP+D2O 150 K,24-Jun-15 05:28:26,24-Jun-15 05:58:46,1800.01,150.063,149.998,6.30806E+06,3504.47,1.43534E+06,797.409,295,-1443, 
123518,5,MBP+D2O 150 K,24-Jun-15 05:58:48,24-Jun-15 06:29:09,1800.01,150.065,149.998,6.30786E+06,3504.36,1.43544E+06,797.464,295,-1443, 
123519,5,MBP+D2O 150 K,24-Jun-15 06:29:11,24-Jun-15 06:59:31,1800.01,150.066,150,6.30453E+06,3502.51,1.43148E+06,795.266,295,-1443, 
123520,5,MBP+D2O 150 K,24-Jun-15 06:59:34,24-Jun-15 07:29:54,1800.01,150.073,150.001,6.30601E+06,3503.33,1.43691E+06,798.28,295,-1443, 
123521,5,MBP+D2O 150 K,24-Jun-15 07:29:56,24-Jun-15 08:00:17,1800.01,150.072,149.999,6.3062E+06,3503.43,1.43606E+06,797.806,295,-1443, 
123522,5,MBP+D2O 150 K,24-Jun-15 08:00:19,24-Jun-15 08:30:39,1800.01,150.071,150,6.31223E+06,3506.78,1.43133E+06,795.181,295,-1443, 
123535,5,Vanadium 0.5mm,24-Jun-15 12:34:49,24-Jun-15 13:05:09,1800.01,164.226,155.736,1.81368E+06,1007.59,1.43279E+06,795.988,295,-1443, 
123536,5,Vanadium 0.5mm,24-Jun-15 13:05:11,24-Jun-15 13:14:53,561.5,160.242,154.75,565145,1006.49,448995,799.635,295,-1443, 